session_id,model,n_params,nll,aic,bic,n_obs,window,threshold,beta
mmh0opq734nw1a,softmax_mvt,2,498.91624743000295,1001.8324948600059,1011.4768896412469,918,15.0,,6.326957626290752
mmh0ozswma6i3j,mvt_threshold,1,432.37913373684,866.75826747368,871.6789389779287,1013,5.0,,
mmh0ozswma6i3j,patch_leaving,1,882.9248011008168,1767.8496022016336,1772.7702737058823,1013,,0.5,
mmh0ozswma6i3j,softmax_mvt,2,580.2630087138995,1164.526017427799,1174.3673604362964,1013,10.0,,5.3931331803436215
mmh0pa4lgnz2nd,mvt_threshold,1,565.4720462105539,1132.9440924211078,1137.7409161393828,895,5.0,,
mmh0pa4lgnz2nd,patch_leaving,1,611.2197601275121,1224.4395202550243,1229.2363439732992,895,,0.5,
mmh0pa4lgnz2nd,softmax_mvt,2,586.5316596361783,1177.0633192723567,1186.6569667089063,895,5.0,,2.673728517413839
mmh0pj6zqdvwmg,mvt_threshold,1,504.05027885327667,1010.1005577065533,1015.2242304917579,1241,5.0,,
mmh0pj6zqdvwmg,patch_leaving,1,1155.6086285796441,2313.2172571592882,2318.340929944493,1241,,0.5,
mmh0pj6zqdvwmg,softmax_mvt,2,702.2300361380394,1408.4600722760788,1418.707417846488,1241,10.0,,6.019499567414701
mmh0pjhqfbciu8,mvt_threshold,1,502.7600544850548,1007.5201089701096,1012.115889484071,732,5.0,,
mmh0pjhqfbciu8,patch_leaving,1,519.395586818494,1040.791173636988,1045.3869541509494,732,,0.5,
mmh0pjhqfbciu8,softmax_mvt,2,445.8694177285953,895.7388354571906,904.9303964851132,732,5.0,,5.7262975209745655
mmh0puch6r88f0,mvt_threshold,1,636.8899223348482,1275.7798446696963,1280.5733108022764,892,15.0,,
mmh0puch6r88f0,patch_leaving,1,747.7934712244454,1497.5869424488908,1502.3804085814709,892,,0.5000081846324331,
mmh0puch6r88f0,softmax_mvt,2,559.3881752397818,1122.7763504795637,1132.3632827447236,892,5.0,,4.937952697165111
mmh0r154h7irg3,mvt_threshold,1,435.70361148549324,873.4072229709865,878.4779470782468,1177,5.0,,
mmh0r154h7irg3,patch_leaving,1,990.2213559334697,1982.4427118669394,1987.5134359741996,1177,,0.5,
mmh0r154h7irg3,softmax_mvt,2,628.8779790976698,1261.7559581953396,1271.8974064098602,1177,10.0,,6.722612384095092
mmh0r34rqnesgg,mvt_threshold,1,552.5825211962232,1107.1650423924464,1111.9872397830668,918,5.0,,
mmh0r34rqnesgg,patch_leaving,1,498.51704111254537,999.0340822250907,1003.8562796157113,918,,0.5,
mmh0r34rqnesgg,softmax_mvt,2,529.4611889505253,1062.9223779010506,1072.5667726822917,918,5.0,,7.61297173246245
mmh0rqn6g1cadb,mvt_threshold,1,383.93222556948547,769.8644511389709,774.3460282682473,653,5.0,,
