session_id,model,n_params,nll,aic,bic,n_obs,alpha,beta,alpha_pos,alpha_neg,forget,alpha_base,alpha_gain,decay,alpha_phase1,alpha_phase2,alpha_phase3,alpha_phase4,sensitivity,bias,r_squared,n_bins
mmgq3qouddjc6z,wsls,2,798.4313625113765,1600.862725022753,1610.962970063291,1153.0,,,,,,,,,,,,,,,,
mmgq3qouddjc6z,logistic,5,611.7742921360252,1233.5485842720504,1258.7991968733957,1153.0,,,,,,,,,,,,,,,,
mmgqyc7ozjls4u,random,0,710.475860073944,1420.951720147888,1420.951720147888,1025.0,,,,,,,,,,,,,,,,
mmgqyc7ozjls4u,bias,1,710.1709517901229,1422.3419035802458,1427.2743514718184,1025.0,,,,,,,,,,,,,,,,
mmgqyc7ozjls4u,wsls,2,709.4094890268644,1422.8189780537289,1432.683873836874,1025.0,,,,,,,,,,,,,,,,
mmgqyc7ozjls4u,logistic,5,574.4144659712556,1158.8289319425112,1183.4911714003738,1025.0,,,,,,,,,,,,,,,,
mmgr4s188ypj5i,random,0,704.2375354489045,1408.475070897809,1408.475070897809,1016.0,,,,,,,,,,,,,,,,
mmgr4s188ypj5i,bias,1,704.0406723399528,1410.0813446799057,1415.004973308044,1016.0,,,,,,,,,,,,,,,,
mmgr4s188ypj5i,wsls,2,702.9676236895842,1409.9352473791685,1419.782504635445,1016.0,,,,,,,,,,,,,,,,
mmgr4s188ypj5i,logistic,5,364.4506368314907,738.9012736629815,763.5194168036736,1016.0,,,,,,,,,,,,,,,,
mmgr4wtlfg07a6,random,0,662.6487046153077,1325.2974092306154,1325.2974092306154,956.0,,,,,,,,,,,,,,,,
mmgr4wtlfg07a6,bias,1,662.5461904907276,1327.092380981455,1331.9551388945065,956.0,,,,,,,,,,,,,,,,
mmgr4wtlfg07a6,wsls,2,661.0131667936727,1326.026333587345,1335.751849413448,956.0,,,,,,,,,,,,,,,,
mmgr4wtlfg07a6,logistic,5,655.4418379949714,1320.8836759899427,1345.1974655551996,956.0,,,,,,,,,,,,,,,,
mmgr8c41csnx7y,random,0,473.4195243224426,946.8390486448852,946.8390486448852,683.0,,,,,,,,,,,,,,,,
mmgr8c41csnx7y,bias,1,469.51089127738487,941.0217825547696,945.5482774143404,683.0,,,,,,,,,,,,,,,,
mmgr8c41csnx7y,wsls,2,468.86668607205263,941.7333721441051,950.7863618632468,683.0,,,,,,,,,,,,,,,,
mmgr8c41csnx7y,logistic,5,379.3823952582504,768.7647905165009,791.3972648143548,683.0,,,,,,,,,,,,,,,,
mmh0l2c7syhpy7,random,0,711.8621544350638,1423.7243088701275,1423.7243088701275,1027.0,,,,,,,,,,,,,,,,
mmh0l2c7syhpy7,bias,1,711.0435337888391,1424.0870675776782,1429.0214647876069,1027.0,,,,,,,,,,,,,,,,
mmh0l2c7syhpy7,wsls,2,708.5935279675303,1421.1870559350607,1431.0558503549178,1027.0,,,,,,,,,,,,,,,,
mmh0l2c7syhpy7,logistic,5,601.0823657924859,1212.1647315849718,1236.8367176346146,1027.0,,,,,,,,,,,,,,,,
mmh0l48d4j1y4y,random,0,607.1969301705121,1214.3938603410245,1214.3938603410245,876.0,,,,,,,,,,,,,,,,
mmh0l48d4j1y4y,bias,1,607.0119856478943,1216.023971295789,1220.799337386725,876.0,,,,,,,,,,,,,,,,
mmh0l48d4j1y4y,wsls,2,605.8507801378817,1215.7015602757633,1225.252292457636,876.0,,,,,,,,,,,,,,,,
mmh0l48d4j1y4y,logistic,5,565.2841079441125,1140.568215888225,1164.445046342907,876.0,,,,,,,,,,,,,,,,
mmh0le5hn8utpd,random,0,688.9882974765857,1377.9765949531711,1377.9765949531711,994.0,,,,,,,,,,,,,,,,
mmh0le5hn8utpd,bias,1,688.970188714705,1379.94037742941,1384.8421146360668,994.0,,,,,,,,,,,,,,,,
mmh0le5hn8utpd,wsls,2,686.9510956368027,1377.9021912736057,1387.7056656869186,994.0,,,,,,,,,,,,,,,,
mmh0le5hn8utpd,logistic,5,367.7159709785357,745.4319419570714,769.9406279903543,994.0,,,,,,,,,,,,,,,,
mmh0lgop76n6ez,random,0,627.2981984067505,1254.596396813501,1254.596396813501,905.0,,,,,,,,,,,,,,,,
mmh0lgop76n6ez,bias,1,626.895376205882,1255.790752411764,1260.598687355464,905.0,,,,,,,,,,,,,,,,
mmh0lgop76n6ez,wsls,2,625.4876152520133,1254.9752305040265,1264.5911003914264,905.0,,,,,,,,,,,,,,,,
mmh0lgop76n6ez,logistic,5,445.9435814583327,901.8871629166654,925.926837635165,905.0,,,,,,,,,,,,,,,,
mmh0lku3ip54e4,random,0,693.8403277405052,1387.6806554810105,1387.6806554810105,1001.0,,,,,,,,,,,,,,,,
mmh0lku3ip54e4,bias,1,691.5963927584169,1385.1927855168335,1390.1015402961489,1001.0,,,,,,,,,,,,,,,,
mmh0lku3ip54e4,wsls,2,684.5064680220827,1373.0129360441654,1382.830445602796,1001.0,,,,,,,,,,,,,,,,
mmh0lku3ip54e4,logistic,5,649.588676860521,1309.177353721042,1333.721127617618,1001.0,,,,,,,,,,,,,,,,
mmh0lpcdm9wdcu,random,0,242.60151319598089,485.2030263919617,485.2030263919617,350.0,,,,,,,,,,,,,,,,
mmh0lpcdm9wdcu,bias,1,242.0297732361249,486.0595464722498,489.91747962673327,350.0,,,,,,,,,,,,,,,,
mmh0lpcdm9wdcu,wsls,2,241.11354381622817,486.2270876324564,493.9429539414232,350.0,,,,,,,,,,,,,,,,
mmh0lpcdm9wdcu,logistic,5,47.60170853710117,105.20341707420232,124.49308284661964,350.0,,,,,,,,,,,,,,,,
mmh0m3latwun95,random,0,724.3388036851428,1448.6776073702856,1448.6776073702856,1045.0,,,,,,,,,,,,,,,,
mmh0m3latwun95,bias,1,724.2311444855694,1450.4622889711388,1455.4140611355378,1045.0,,,,,,,,,,,,,,,,
mmh0m3latwun95,wsls,2,723.1064275683257,1450.2128551366511,1460.1163994654491,1045.0,,,,,,,,,,,,,,,,
mmh0m3latwun95,logistic,5,421.34411802407976,852.6882360481595,877.447096870154,1045.0,,,,,,,,,,,,,,,,
mmh0mm0schxk59,random,0,695.2266221016251,1390.4532442032505,1390.4532442032505,1003.0,,,,,,,,,,,,,,,,
mmh0mm0schxk59,bias,1,695.2141594378436,1392.4283188756872,1397.339069663649,1003.0,,,,,,,,,,,,,,,,
mmh0mm0schxk59,wsls,2,694.4596328703199,1392.9192657406395,1402.7407673165635,1003.0,,,,,,,,,,,,,,,,
mmh0mm0schxk59,logistic,5,686.1590054970918,1382.3180109941836,1406.8717649339933,1003.0,,,,,,,,,,,,,,,,
mmh0mmptqfyu87,random,0,342.414707196613,684.829414393226,684.829414393226,494.0,,,,,,,,,,,,,,,,
mmh0mmptqfyu87,bias,1,342.0866993702548,686.1733987405096,690.3759342576975,494.0,,,,,,,,,,,,,,,,
mmh0mmptqfyu87,wsls,2,341.0455818904576,686.0911637809152,694.496234815291,494.0,,,,,,,,,,,,,,,,
mmh0mmptqfyu87,logistic,5,337.5578161705231,685.1156323410462,706.1283099269858,494.0,,,,,,,,,,,,,,,,
mmh0nnjg95y0zn,random,0,853.2641792692928,1706.5283585385855,1706.5283585385855,1231.0,,,,,,,,,,,,,,,,
mmh0nnjg95y0zn,bias,1,852.7665492533209,1707.533098506642,1712.6486806328264,1231.0,,,,,,,,,,,,,,,,
mmh0nnjg95y0zn,wsls,2,851.8750310034135,1707.750062006827,1717.981226259196,1231.0,,,,,,,,,,,,,,,,
mmh0nnjg95y0zn,logistic,5,516.3365568325729,1042.6731136651458,1068.2510242960682,1231.0,,,,,,,,,,,,,,,,
mmh0ocgvf4p325,random,0,686.2157087543459,1372.4314175086918,1372.4314175086918,990.0,,,,,,,,,,,,,,,,
mmh0ocgvf4p325,bias,1,685.3245322253965,1372.649064450793,1377.5467693939215,990.0,,,,,,,,,,,,,,,,
mmh0ocgvf4p325,wsls,2,684.5385807884519,1373.0771615769038,1382.872571463161,990.0,,,,,,,,,,,,,,,,
mmh0ocgvf4p325,logistic,5,317.385559590922,644.771119181844,669.2596438974872,990.0,,,,,,,,,,,,,,,,
mmh0opq734nw1a,random,0,636.3091117540297,1272.6182235080594,1272.6182235080594,918.0,,,,,,,,,,,,,,,,
mmh0opq734nw1a,bias,1,636.2546444458558,1274.5092888917115,1279.331486282332,918.0,,,,,,,,,,,,,,,,
mmh0opq734nw1a,wsls,2,635.2402341204726,1274.4804682409451,1284.1248630221862,918.0,,,,,,,,,,,,,,,,
mmh0opq734nw1a,logistic,5,322.74289072328617,655.4857814465723,679.5967683996748,918.0,,,,,,,,,,,,,,,,
mmh0ozswma6i3j,random,0,702.1580939072246,1404.3161878144492,1404.3161878144492,1013.0,,,,,,,,,,,,,,,,
mmh0ozswma6i3j,bias,1,702.157600323729,1406.315200647458,1411.2358721517066,1013.0,,,,,,,,,,,,,,,,
mmh0ozswma6i3j,wsls,2,701.108447145271,1406.216894290542,1416.0582372990395,1013.0,,,,,,,,,,,,,,,,
mmh0ozswma6i3j,logistic,5,319.4821425799776,648.9642851599551,673.5676426811985,1013.0,,,,,,,,,,,,,,,,
mmh0pa4lgnz2nd,random,0,620.3667266011511,1240.733453202302,1240.733453202302,895.0,,,,,,,,,,,,,,,,
mmh0pa4lgnz2nd,bias,1,620.3661679418169,1242.7323358836338,1247.5291596019088,895.0,,,,,,,,,,,,,,,,
mmh0pa4lgnz2nd,wsls,2,619.6735794206369,1243.3471588412738,1252.9408062778234,895.0,,,,,,,,,,,,,,,,
mmh0pa4lgnz2nd,logistic,5,460.95478438579096,931.909568771582,955.893687362956,895.0,,,,,,,,,,,,,,,,
mmh0pj6zqdvwmg,random,0,860.1956510748921,1720.3913021497842,1720.3913021497842,1241.0,,,,,,,,,,,,,,,,
mmh0pj6zqdvwmg,bias,1,860.0501981721582,1722.1003963443163,1727.224069129521,1241.0,,,,,,,,,,,,,,,,
