session_id,overall_switch_rate,mean_run_length,choice_entropy,win_stay_rate,lose_shift_rate,overall_reward_rate,total_rewards,choice_prop_a,total_clicks,adaptation_lag_phase2_s,adaptation_lag_phase3_s,dfa_alpha,sample_entropy,determinism,laminarity,trapping_time,best_E,ccm_asymmetry
mmh0l2c7syhpy7,0.27945472249269715,5.4787878787878785,0.9988500292632153,0.7719665271966527,0.3248175182481752,0.46543330087633883,478,0.5199610516066212,1027,9.483,3.923,0.6041904181494439,1.7570509778273282,0.9276069465466422,0.9756333147454792,5.637341772151899,2,0.1754239999999999
mmh0l48d4j1y4y,0.6038812785388128,6.672131147540983,0.9996954126191551,0.3066132264529058,0.4867021276595745,0.5707762557077626,500,0.5102739726027398,876,28.785,15.526,0.6342616424246258,0.4440290891808315,0.9429735234215886,0.9656529866361632,17.2249925350851,1,0.20903650000000007
mmh0le5hn8utpd,0.12977867203219315,7.6461538461538465,0.9999737168803201,0.9271653543307087,0.18969072164948453,0.5110663983903421,508,0.4969818913480885,994,3.598,9.815,0.6359368331204125,1.3251224105580746,0.985459072517896,0.998163709928416,9.668968012300642,2,0.055873000000000006
mmh0lgop76n6ez,0.19889502762430938,5.113636363636363,0.99935784575519,0.8368121442125237,0.2493368700265252,0.5823204419889503,527,0.4850828729281768,905,28.361,8.64,0.5608195714389902,1.6779578588708564,0.9747719132256538,0.994414408326012,9.207690622946716,1,0.002946000000000004
mmh0lku3ip54e4,0.4275724275724276,3.4549356223175964,0.9967659202090546,0.6815533980582524,0.5443298969072164,0.5144855144855145,515,0.46653346653346656,1001,30.774,10.253,0.515617119298582,1.3926638094053705,0.8881820239981888,0.9353407290015848,6.96636034061209,1,-0.00439299999999998
mmh0lpcdm9wdcu,0.06857142857142857,18.105263157894736,0.9976432959863937,0.9932432432432432,0.41509433962264153,0.8457142857142858,296,0.5285714285714286,350,28.135,20.134,1.11839297791195,0.12874148579619013,0.974951531601396,0.989492051182629,12.868885526979325,2,-0.2028859999999999
mmh0m3latwun95,0.14641148325358852,8.128,0.9998513690015975,0.9176470588235294,0.19063004846526657,0.40669856459330145,425,0.507177033492823,1045,5.858,8.1,0.6350140439556262,1.432475106183251,0.9086826704884748,0.9776901946733548,4.953527774416072,3,-0.19899450000000007
mmh0mm0schxk59,0.4675972083748754,4.063218390804598,0.9999820739549017,0.47368421052631576,0.4194139194139194,0.4546360917248255,456,0.5024925224327019,1003,9.033,11.495,0.5327957925296372,0.9248560947330781,0.9304090360785172,0.9666849435245092,7.644783626745295,1,-0.12416349999999993
mmh0mmptqfyu87,0.4797570850202429,2.590062111801242,0.9990420743634416,0.5321888412017167,0.7037037037037037,0.9433198380566802,466,0.4817813765182186,494,4.385,22.992,0.3939242403117889,0.8121772257304939,0.970684900457104,0.9832395199778374,13.280380984777617,6,0.47741049999999996
mmh0nnjg95y0zn,0.15190901705930138,7.171597633136095,0.9994167925619497,0.9102564102564102,0.17320261437908496,0.25345247766043866,312,0.5142160844841592,1231,5.977,7.945,0.5858470519693715,1.6934962154409903,0.9274247173933694,0.9835660682055668,5.426827898618547,5,0.09519949999999999
